event_id,event_date,activation_name,city,attendance,engagement_rate,social_impressions,content_views,samples_distributed,qualified_leads,conversions,conversion_rate,avg_order_value_inr,attributed_revenue_inr,activation_spend_inr,contribution_profit_inr,attribution_case,is_simulated
EVT-001,2024-01-16,Campus Cricket,Mumbai,9109,0.344,285236,67645,7041,1237,266,0.2157,616.18,163903.08,2138283.72,59733.85,Base case; simulated assumptions; not Red Bull private data,True
EVT-002,2024-02-19,Urban Dance Showcase,Delhi NCR,7087,0.3002,276030,76624,4719,776,145,0.1876,517.81,75082.82,700220.6,21645.07,Base case; simulated assumptions; not Red Bull private data,True
EVT-003,2024-03-15,Adventure Team Challenge,Bengaluru,4999,0.4371,115007,18591,2651,407,82,0.2034,525.52,43092.38,1089529.17,12734.97,Base case; simulated assumptions; not Red Bull private data,True
EVT-004,2024-04-20,Gaming Community Finals,Hyderabad,2140,0.413,41443,8015,1886,228,48,0.2116,429.12,20597.81,1333600.9,8496.94,Base case; simulated assumptions; not Red Bull private data,True
EVT-005,2024-05-18,Music & Culture Night,Pune,5342,0.5005,252590,60917,3026,374,33,0.0887,422.7,13949.12,668286.32,5632.51,Base case; simulated assumptions; not Red Bull private data,True
EVT-006,2024-06-16,City Run Experience,Chennai,8449,0.3814,208139,56255,7277,697,91,0.1314,704.61,64119.64,2928108.33,26158.58,Base case; simulated assumptions; not Red Bull private data,True
EVT-007,2024-07-05,Campus Cricket,Mumbai,4366,0.3209,136218,25209,3686,237,42,0.1814,724.35,30422.65,3140509.44,11287.36,Base case; simulated assumptions; not Red Bull private data,True
EVT-008,2024-08-06,Urban Dance Showcase,Delhi NCR,11459,0.3057,329771,40204,10209,1718,145,0.0845,386.89,56099.11,1585772.21,17738.28,Base case; simulated assumptions; not Red Bull private data,True
EVT-009,2024-09-19,Adventure Team Challenge,Bengaluru,10346,0.3346,431629,104446,6219,481,115,0.2396,614.83,70705.99,1770424.69,23471.41,Base case; simulated assumptions; not Red Bull private data,True
EVT-010,2024-10-17,Gaming Community Finals,Hyderabad,10981,0.5592,464886,118807,9292,891,171,0.1926,533.69,91261.01,2179996.96,38306.03,Base case; simulated assumptions; not Red Bull private data,True
EVT-011,2024-11-06,Music & Culture Night,Pune,11832,0.4543,416674,132256,10567,1621,146,0.0904,502.6,73380.05,2936233.97,28439.86,Base case; simulated assumptions; not Red Bull private data,True
EVT-012,2024-12-05,City Run Experience,Chennai,9216,0.5071,280700,58585,7449,709,134,0.1896,655.96,87898.54,2803617.77,28548.04,Base case; simulated assumptions; not Red Bull private data,True
EVT-013,2025-01-11,Campus Cricket,Mumbai,9212,0.3162,203970,43203,4113,714,160,0.2243,398.59,63775.17,2787694.89,22400.54,Base case; simulated assumptions; not Red Bull private data,True
EVT-014,2025-02-16,Urban Dance Showcase,Delhi NCR,8781,0.5816,310050,45140,3698,442,102,0.2319,597.6,60954.82,1600994.8,17331.23,Base case; simulated assumptions; not Red Bull private data,True
EVT-015,2025-03-19,Adventure Team Challenge,Bengaluru,11081,0.3912,433747,118296,6004,406,57,0.1416,500.51,28529.06,2435653.82,11262.4,Base case; simulated assumptions; not Red Bull private data,True
EVT-016,2025-04-22,Gaming Community Finals,Hyderabad,3602,0.4596,69224,11569,2829,439,89,0.2042,434.11,38635.56,2055138.56,13104.38,Base case; simulated assumptions; not Red Bull private data,True
EVT-017,2025-05-07,Music & Culture Night,Pune,11908,0.5024,548435,83349,7578,1156,160,0.1389,620.35,99256.52,1954840.54,41575.59,Base case; simulated assumptions; not Red Bull private data,True
EVT-018,2025-06-09,City Run Experience,Chennai,3077,0.598,92455,20613,2073,190,44,0.2342,726.37,31960.07,3130908.01,13409.44,Base case; simulated assumptions; not Red Bull private data,True
EVT-019,2025-07-18,Campus Cricket,Mumbai,8433,0.4336,367021,45964,6919,828,155,0.1877,522.14,80931.31,1589989.04,23020.14,Base case; simulated assumptions; not Red Bull private data,True
EVT-020,2025-08-05,Urban Dance Showcase,Delhi NCR,5776,0.4188,142919,24926,4045,396,84,0.2128,422.33,35475.41,2122994.61,10727.99,Base case; simulated assumptions; not Red Bull private data,True
EVT-021,2025-09-04,Adventure Team Challenge,Bengaluru,6904,0.4679,257304,55071,4588,374,57,0.1541,521.75,29739.84,2348634.32,10137.57,Base case; simulated assumptions; not Red Bull private data,True
EVT-022,2025-10-12,Gaming Community Finals,Hyderabad,9616,0.4248,241103,43449,4247,529,112,0.2129,672.26,75293.39,1766363.14,23149.47,Base case; simulated assumptions; not Red Bull private data,True
EVT-023,2025-11-16,Music & Culture Night,Pune,10525,0.2993,315504,97318,6406,474,58,0.1226,608.01,35264.65,1037691.56,13107.55,Base case; simulated assumptions; not Red Bull private data,True
EVT-024,2025-12-22,City Run Experience,Chennai,5932,0.3937,149651,45064,3620,537,80,0.1505,414.91,33192.76,1773290.24,11653.19,Base case; simulated assumptions; not Red Bull private data,True
